博物馆信息统计(找不到内容的填NULL)								
Num(用于标识，留空)	M_Cname(中文名）	M_Ename(英文名)	M_Batch(批次）	Province(所属省份)	M_Address(地址)	M_web(官网）	微信公众号	备注
160103	洛阳博物馆	LUOYANG MUSEUM	1	河南	河南省洛阳市洛龙区聂泰路	http://www.lymuseum.com/		
160104	南阳汉画馆	Nanyang Stone-carved art Museum in Han Dynasty	1	河南	南阳市卧龙区汉画街398号（卧龙区车站南路以西，卧龙路以南）	http://nyhhg.com/		
160201	开封市博物馆	KAIFENG MUSEUM	3	河南	河南省开封市迎宾路26号（老馆）/ 河南省开封市郑开大道第六大街（新馆）	http://www.kfsbwg.com/		有新馆和旧馆，馆址已标出
160202	鄂豫皖苏区首府革命博物馆	Revolution Museum of capital of Hubei,Henan,Anhui and Soviet Areas	3	河南	河南省信阳市新县首府路文博新村4号	http://www.eywsqsfbwg.com/		英文名来自百度百科
160401	中国文字博物馆	National Museum of Chinese Writing	4	河南	安阳市人民大道东段	http://www.wzbwg.com/		
160402	平顶山博物馆	PINGDINGSAHN MUSEUM	4	河南	平顶山市新城区长安大道与怀仁路交叉口平安广场西侧	http://www.pdsm.org.cn/		
160403	安阳博物馆	Anyang Museum	4	河南	河南省安阳市文明大道436号两馆大楼西	http://www.aybwg.org/		英文名来自百度百科
170107	湖北省博物馆 / 湖北省文物考古研究所	Hubei Museum	1	湖北	湖北省武汉市武昌区东湖路160号	http://www.hbww.org/home/Index.aspx		英文名来自百度百科
170102	荆州博物馆	JINGZHOU MUSEUM	1	湖北	湖北省荆州市荆中路166号	http://www.jzmsm.org/		
170103	武汉博物馆	WUHAN MUSEUM	1	湖北	武汉市江汉区青年路373号	http://www.whmuseum.com.cn/		
170301	辛亥革命武昌起义纪念馆 / 辛亥革命研究所	Wuchang Uprising Memorial Hall of Xinhai Revolution	3	湖北	武汉市武昌区武珞路1号	http://wlt.hubei.gov.cn/1911museum/		英文名来自百度百科，两个馆名已标出
170302	中山舰博物馆	Zhongshan Warship Museum	3	湖北	武汉市江夏区金口街中山舰路特1号	http://www.zhongshanwarship.org.cn/		英文名来自百度百科
170401	武汉革命博物馆	the WuHan revolutionary museum	4	湖北	湖北省武汉市武昌区红巷13号	http://www.whgmbwg.com/		英文名来自百度百科
170402	长江文明馆	The Changjiang Civilization Museum	4	湖北	湖北省武汉市园博园东路8号	http://www.changjiangcp.com/		
170403	宜昌博物馆	YICHANG MUSEUM	4	湖北	湖北省宜昌市伍家岗区柏临河路	http://www.ycbwg.com/		
170404	随州博物馆	SUIZHOU MUSEUM	4	湖北	随州市清河路二桥头	https://www.szbwg.net/		
